City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
104,miandrivazo,-19.5167,45.4667,26.87,39,76,1.98,Miandrivazo,1693374377
105,guerrero negro,27.9769,-114.0611,23.06,76,39,0.49,Guerrero Negro,1693374003
106,banda aceh,5.5577,95.3222,31.01,63,98,6.43,Banda Aceh,1693374190
107,fortuna,40.5982,-124.1573,18.19,94,20,4.63,Fortuna,1693374378
108,kurumkan,54.3,110.3,24.95,37,14,1.41,Kurumkan,1693374378
109,saint-pierre,-21.3393,55.4781,24.2,88,100,4.63,Saint-Pierre,1693374099
110,glubokoye,50.1456,82.3114,23.86,50,0,3.0,Glūbokoe,1693374379
111,essaouira,31.5125,-9.77,20.72,83,0,2.06,Mogador,1693374380
112,tavricheskoye,54.5851,73.6395,19.95,28,98,8.99,Tavricheskoye,1693374380
113,iskateley,67.6803,53.1512,9.99,72,100,4.29,Iskateley,1693373985
114,shahrak,34.1074,64.3052,23.86,11,0,0.86,Shahrak,1693374155
115,amga,60.8953,131.9608,26.09,41,0,1.85,Amga,1693374381
116,nyrob,60.733,56.7202,14.32,51,19,4.73,Nyrob,1693374381
117,tazovsky,67.4667,78.7,11.87,59,99,5.51,Tazovsky,1693373997
118,mata-utu,-13.2816,-176.1745,27.2,81,98,10.63,Mata-Utu,1693374382
119,pontianak,-0.0333,109.3333,31.99,55,75,3.6,Pontianak,1693374182
120,whitehorse,60.7161,-135.0538,18.43,52,75,4.63,Whitehorse,1693374011
121,camalu,30.85,-116.0667,22.75,71,13,2.14,Camalú,1693374382
122,jiuquan,39.7432,98.5174,28.68,16,100,6.4,Jiuquan,1693374254
123,patrocinio,-18.9439,-46.9925,17.34,87,59,1.97,Patrocínio,1693374383
124,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,63,20,4.0,Petropavlovsk-Kamchatskiy,1693374003
125,mayqayyng,51.4625,75.7986,27.19,21,98,10.06,Mayqayyng,1693374383
126,castillos,-34.1667,-53.8333,8.24,93,13,2.2,Castillos,1693374384
127,yanchep,-31.55,115.6833,22.75,51,0,3.4,Yanchep,1693374141
128,kone,-21.0595,164.8658,20.87,91,91,1.47,Koné,1693374133
129,puyang chengguanzhen,35.7028,115.0053,27.77,61,17,1.57,Puyang Chengguanzhen,1693374313
130,carnarvon,-24.8667,113.6333,28.2,38,1,3.33,Carnarvon,1693374059
131,macas,-2.3167,-78.1167,17.85,94,4,1.71,Macas,1693374384
132,afaahiti,-17.75,-149.2833,24.93,85,87,6.67,Afaahiti,1693374035
133,hawaiian paradise park,19.5933,-154.9731,25.73,89,100,0.0,Hawaiian Paradise Park,1693374009
134,tamanrasset,22.785,5.5228,21.95,46,0,2.06,Tamanghasset,1693374385
135,susuman,62.7833,148.1667,22.87,35,32,6.56,Susuman,1693373993
136,papatowai,-46.5619,169.4708,10.13,77,17,2.61,Papatowai,1693373983
137,stanley,54.868,-1.6985,9.88,91,43,3.57,Stanley,1693373985
138,angaur state,6.906,134.13,28.64,79,65,5.21,Angaur State,1693373995
139,batobalane,14.2333,122.75,29.05,74,100,4.83,Batobalane,1693374386
140,nova sintra,14.8667,-24.7167,23.44,82,89,4.34,Nova Sintra,1693374040
141,harper,4.375,-7.7169,24.43,87,100,3.85,Harper,1693374012
142,atafu village,-8.5421,-172.5159,28.29,80,21,7.0,Atafu Village,1693373986
143,constantia,44.1833,28.65,27.61,68,0,5.96,Constanța,1693373981
144,at taj,24.2049,23.2857,30.38,18,26,3.67,At Tāj,1693374073
145,san luis de la loma,17.2706,-100.8939,26.64,86,96,1.49,San Luis de la Loma,1693374387
146,nadi,-17.8,177.4167,26.0,69,75,2.57,Nadi,1693374380
147,zell am see,47.3256,12.7944,12.78,48,100,0.89,Zell am See,1693374388
148,portel,-1.9356,-50.8211,23.2,86,0,1.68,Portel,1693374388
149,cole harbour,44.6724,-63.4751,19.99,97,100,3.09,Cole Harbour,1693374389
150,igrim,63.1906,64.4162,10.18,85,100,5.59,Igrim,1693374389
151,el nido,11.1858,119.3956,28.53,77,100,8.81,El Nido,1693374389
152,sao gabriel da cachoeira,-0.1303,-67.0892,21.22,99,95,0.89,São Gabriel da Cachoeira,1693374390
153,sandakan,5.8402,118.1179,32.82,62,20,2.24,Sandakan,1693374159
154,vadso,70.0744,29.7487,12.09,87,75,0.0,Vadsø,1693374149
155,rock forest,45.3702,-71.99,18.54,100,100,1.54,Rock Forest,1693374391
156,ambad,19.6167,75.8,30.11,52,18,2.74,Ambad,1693374391
157,pontiac,42.6389,-83.2911,16.54,90,100,5.14,Pontiac,1693374391
158,molochnoye,59.2917,39.6787,15.07,72,37,0.14,Molochnoye,1693374391
159,isafjordur,66.0755,-23.124,9.15,77,100,0.81,Isafjordur,1693374032
160,portland,45.5234,-122.6762,19.26,81,100,2.57,Portland,1693373835
161,ati,13.2154,18.3353,25.45,82,100,7.64,Ati,1693374392
162,pangody,65.85,74.4859,13.18,60,100,3.74,Pangody,1693374392
163,am timan,11.0297,20.2827,21.45,95,100,2.51,Am Timan,1693374392
164,east london,-33.0153,27.9116,14.52,54,0,2.06,East London,1693373928
165,nadym,65.5333,72.5167,11.17,74,100,3.95,Nadym,1693374141
166,kavaratti,10.5669,72.642,28.12,77,100,8.35,Kavaratti,1693374393
167,al bawiti,28.3492,28.8659,28.39,39,0,1.51,Al Bawīţī,1693373988
168,manavalakurichi,8.1333,77.3,30.0,65,100,7.96,Manavālakurichi,1693374393
169,kurlovo,55.4325,40.4854,15.05,58,62,0.63,Kurlovo,1693374393
170,scottburgh,-30.2867,30.7532,18.32,58,0,4.04,Scottburgh,1693374137
171,lorengau,-2.0226,147.2712,27.31,84,65,3.35,Lorengau,1693374158
172,walvis bay,-22.9575,14.5053,15.53,82,0,2.57,Walvis Bay,1693374162
173,bethel,41.3712,-73.414,22.2,87,100,0.0,Bethel,1693374008
174,waajid,3.8096,43.2463,27.12,51,40,10.22,Waajid,1693374394
175,kiunga,-6.1219,141.2906,27.32,72,96,1.62,Kiunga,1693374082
176,weno,7.4515,151.8468,29.97,79,100,3.6,Weno,1693374027
177,shimoda,34.6667,138.95,31.2,74,95,4.07,Shimoda,1693374305
178,maumere,-8.6199,122.2111,27.6,60,7,1.88,Maumere,1693374395
179,marsh harbour,26.5412,-77.0636,29.53,81,65,6.18,Marsh Harbour,1693374395
180,broome,42.2506,-75.833,20.56,95,90,2.24,Broome,1693374092
181,worthington,40.0931,-83.018,19.42,84,0,2.57,Worthington,1693374395
182,el aioun,34.5832,-2.5061,21.21,28,55,1.88,El Aïoun,1693374260
